number,label,status,composite,computational_handle,counterexample_reachable,accessibility,depth_required,problem_type,attack_vector,rationale,statement
647,#647,open,97.0,5,5,5,4,universal,"Compute m + tau(m) for all m up to large N, track the running maximum, check if it ever stays <= n+2 for any n > 24","Entirely elementary: just divisor counts and integer arithmetic, directly computable for any range. The search space is finite and tractable; if a counterexample (satisfying n) exists beyond 24, a direct scan would find it, or strong evidence would accumulate quickly that none exists.",Let $\tau(n)$ count the number of divisors of $n$. Is there some $n > 24$ such that $\max_{m<n}(m + \tau(m)) \leq n + 2$?
287,#287,open,94.0,5,5,5,3,universal,Enumerate all Egyptian fraction representations of 1 with distinct denominators >1 and check gaps between consecutive denominators,"The objects are just integers and unit fractions, completely elementary. A direct computational search over Egyptian fraction representations of 1 can exhaustively check whether any decomposition has all consecutive gaps ≤2, either finding a counterexample or strongly validating the conjecture for small k.","Let $k \geq 2$. Is it true that, for any distinct integers $1 < n_1 < \cdots < n_k$ such that $$1 = \frac{1}{n_1} + \cdots + \frac{1}{n_k}$$ we must have $\max(n_{i+1} - n_i) \geq 3$?"
458,#458,open,94.0,5,5,5,3,universal,Compute lcm(1..p_{k+1}-1) and p_k*lcm(1..p_k) for all primes up to a large bound and verify the inequality holds,"Objects are entirely elementary (lcm, primes, integers) and directly computable for any finite k. Verification or counterexample search is feasible with straightforward code over large ranges of primes.","Let $[1,\ldots,n]$ denote the least common multiple of $\{1,\ldots,n\}$. Is it true that, for all $k \geq 1$, $$[1,\ldots,p_{k+1}-1] < p_k[1,\ldots,p_k]?$$"
677,#677,open,94.0,5,5,5,3,universal,"Write code to compute lcm(n+1,...,n+k) for all n,m up to ~10^6 and fixed small k values, checking if any two windows of length k have equal lcm.","The objects are just LCMs of integer intervals, entirely elementary and directly computable. A counterexample search over small parameters is completely feasible and could resolve the problem if one exists.","Let $M(n, k) = [n + 1, \ldots, n + k]$ be the least common multiple of $\{n + 1, \ldots, n + k\}$. Is it true that for all $m \geq n + k$ we have $M(n, k) \neq M(m, k)$?"
985,#985,open,91.0,5,5,5,2,universal,"For each prime p up to 10^7, find the smallest prime q that is a primitive root mod p and check if q < p always holds; tabulate any failures.","The objects are completely elementary (primes, primitive roots, modular arithmetic) and directly computable. Exhaustive search over primes up to large bounds either finds a counterexample or builds strong empirical evidence, though proving it likely requires deep new ideas (related to Artin's conjecture).","Is it true that, for every prime $p$, there is a prime $q < p$ which is a primitive root modulo $p$?"
242,#242,solved,88.0,5,4,5,3,universal,"For each n from 3 to ~10^6, run a search for valid (x,y,z) triples and verify; also check known partial results (Erdős–Straus conjecture verified up to very large n).","The Erdős–Straus conjecture is elementary to state and computationally verifiable for any finite n, with counterexamples (if any) checkable by exhaustive search over bounded x,y,z. It has been verified up to ~10^14, so a computational attempt adds little new ground but the structure is maximally accessible.",For every $n > 2$ there exist distinct integers $1 \leq x < y < z$ such that $$\frac{4}{n} = \frac{1}{x} + \frac{1}{y} + \frac{1}{z}.$$
291,#291,open,88.0,5,4,5,3,universal,"Compute gcd(a_n, L_n) for n up to several thousand using exact integer arithmetic to find the pattern of when gcd>1 vs gcd=1, and check density/frequency of each case.","All objects (harmonic sums, LCM, gcd) are elementary and exactly computable with big integers for moderate n. Small-scale computation can directly verify both cases occur and gather strong evidence about whether each occurs infinitely often, though proving the asymptotic claim requires deeper analytic or number-theoretic argument.","Let $n \geq 1$ and define $L_n$ to be the least common multiple of $\{1, \ldots, n\}$ and $a_n$ by $$\sum_{1 \leq k \leq n} \frac{1}{k} = \frac{a_n}{L_n}.$$ Is it true that $(a_n, L_n) = 1$ and $(a_n, L_n) > 1$ both occur for infinitely many $n$?"
375,#375,open,88.0,5,4,5,3,universal,"For each composite gap n+1,...,n+k, enumerate small prime factorizations and check if a system of distinct representatives (SDR) exists via Hall's theorem / bipartite matching; test all prime gaps up to 10^6","The objects are entirely elementary (integers, primes, divisibility) and the question reduces to finding a system of distinct representatives from prime factors of consecutive composites, checkable via bipartite matching on small cases. Computational search over known prime gaps can either find a counterexample or build strong evidence, and Hall's marriage theorem may give a clean sufficient condition.","Is it true that for any $n, k \geq 1$, if $n + 1, \ldots, n + k$ are all composite then there are distinct primes $p_1, \ldots, p_k$ such that $p_i \mid n + i$ for $1 \leq i \leq k$?"
385,#385,open,88.0,5,4,5,3,universal,"Compute F(n) for all n up to 10^7: for each composite m < n, track m + p(m) and check if max exceeds n; plot F(n)-n to see trend","All objects (composites, least prime factor) are elementary and directly computable. Small-scale experiments can strongly verify or refute both claims and reveal the growth rate of F(n)-n.","Let $$F(n) = \max_{\substack{m<n \\ m \text{ composite}}} m + p(m),$$ where $p(m)$ is the least prime divisor of $m$. Is it true that $F(n) > n$ for all sufficiently large $n$? Does $F(n) - n \to \infty$ as $n \to \infty$?"
389,#389,open,88.0,5,4,5,3,universal,"For each n, search over k=1,2,...,K checking divisibility of product(n+k..n+2k-1) by product(n..n+k-1); verify for n up to 1000 and find patterns in valid k values.","The problem involves only integer products and divisibility, making it fully elementary and directly computable. For each fixed n, one can search for a valid k by brute force, and patterns in successful k values (e.g., k=n or similar) may suggest a proof strategy.",Is it true that for every $n \geq 1$ there is a $k$ such that \[n(n+1)\cdots(n+k-1) \mid (n+k)\cdots(n+2k-1)?\]
